,Word,Conc.M,Conc.SD
7480,license,4.0,1.22
7481,licensee,3.9,1.24
7482,licensing,2.15,1.41
7483,licensure,2.78,1.41
7484,licker,3.33,1.2
7485,licorice,4.97,0.19
7486,lid,4.96,0.19
7487,lieutenancy,2.25,1.42
7488,lieutenant,4.41,0.97
7489,life,2.69,1.44
7490,lifeblood,3.0,1.31
7491,lifeboat,4.48,1.08
7492,lifebuoy,4.65,0.8
7493,lifeguard,4.47,0.9
7494,lifelessness,2.76,1.36
7495,lifeline,3.28,1.49
7496,lifer,3.28,1.37
7497,lifesaver,4.28,1.07
7498,lifespan,2.55,1.53
7499,lifestyle,2.14,1.24
7500,lifetime,2.15,1.1
7501,lifter,3.93,1.05
7502,liftoff,3.7,1.29
7503,ligament,4.33,1.14
7504,ligature,3.81,1.36
7505,light,4.21,1.15
7506,lightener,2.65,1.3
7507,lighter,4.53,0.73
7508,lightheadedness,2.87,1.46
7509,lightheartedness,2.14,1.24
7510,lighthouse,4.96,0.19
7511,lighting,4.38,0.94
7512,lightness,2.6,1.29
7513,lightning,4.59,0.87
7514,lightweight,2.93,1.54
7515,likability,1.82,1.28
7516,likeability,1.71,0.97
7517,likelihood,1.73,0.94
7518,likeness,2.22,1.28
7519,limb,4.64,0.68
7520,limbo,2.65,1.79
7521,lime,4.96,0.19
7522,limeade,4.44,1.04
7523,limelight,2.54,1.2
7524,limes,4.92,0.39
7525,limestone,4.59,1.01
7526,limit,2.28,1.33
7527,limitation,2.18,1.25
7528,limitlessness,1.38,0.56
7529,limo,4.7,0.79
7530,limousine,4.63,0.93
7531,limp,4.15,1.01
7532,line,4.5,0.71
7533,lineage,3.15,1.59
7534,linebacker,4.69,0.76
7535,lineman,4.6,0.58
7536,linen,4.8,0.41
7537,liner,4.2,1.29
7538,linesman,4.15,1.26
7539,lineup,3.79,1.15
7540,lingerie,4.87,0.35
7541,lingo,2.27,1.41
7542,linguini,4.56,0.97
7543,linguist,3.72,1.19
7544,linguistics,2.63,1.6
7545,lining,4.41,1.21
7546,link,3.43,1.38
7547,linkage,2.75,1.27
7548,links,3.52,1.29
7549,linoleum,4.85,0.77
7550,linseed,4.36,1.08
7551,lint,4.96,0.19
7552,lion,4.96,0.19
7553,lioness,4.43,1.35
7554,lionfish,4.55,1.22
7555,lip,4.96,0.19
7556,liposuction,4.1,1.26
7557,lipstick,4.9,0.31
7558,liqueur,4.64,0.68
7559,liquidation,2.81,1.18
7560,liquidator,3.24,1.33
7561,liquidity,2.64,1.47
7562,liquidness,3.3,1.51
7563,liquor,4.73,0.53
7564,lisp,3.86,1.33
7565,list,4.43,1.1
7566,listener,3.46,1.21
7567,listing,3.15,1.38
7568,listlessness,1.74,0.96
7569,liter,4.24,1.15
7570,literacy,2.04,1.23
7571,literature,4.1,1.08
7572,lithium,4.13,1.38
7573,lithograph,4.39,1.2
7574,litigation,2.96,1.26
7575,litigator,3.55,1.43
7576,litmus,3.2,1.5
7577,litter,4.47,0.78
7578,litterbug,4.07,1.13
7579,littleness,2.32,0.98
7580,livelihood,2.38,1.33
7581,livelong,1.88,1.28
7582,liver,4.68,0.86
7583,livery,3.87,1.55
7584,livestock,4.7,0.61
7585,lizard,4.68,0.86
7586,llama,4.78,0.7
7587,load,3.63,1.1
7588,loader,3.43,1.5
7589,loaf,4.79,0.49
7590,loafer,4.2,1.1
7591,loan,3.72,1.36
7592,loaner,2.7,1.29
7593,loathing,1.89,1.23
7594,loathsomeness,1.69,0.89
7595,lobby,4.7,0.54
7596,lobbyist,3.71,1.41
7597,lobe,4.44,0.85
7598,lobotomy,3.15,1.46
7599,lobster,4.86,0.45
7600,locale,2.96,1.46
7601,locality,3.07,1.49
7602,localization,2.63,1.57
7603,locals,2.89,1.4
7604,locater,3.37,1.47
7605,location,3.0,1.49
7606,locator,3.18,1.14
7607,lockbox,4.39,1.03
7608,locker,4.67,1.0
7609,locket,4.82,0.48
7610,lockjaw,3.96,1.04
7611,lockout,3.15,1.54
7612,locksmith,4.54,0.88
7613,lockup,3.12,1.26
7614,loco,1.88,0.88
7615,locomotion,3.37,1.31
7616,locomotive,4.82,0.61
7617,locust,4.8,0.76
7618,lodge,4.0,1.31
7619,lodger,3.93,1.36
7620,lodgings,4.21,0.88
7621,loft,4.32,1.02
7622,loftiness,1.79,1.02
7623,log,4.96,0.19
7624,logarithm,2.65,1.62
7625,logbook,4.54,1.04
7626,logger,4.54,0.81
7627,logic,1.72,1.07
7628,logics,1.79,1.07
7629,login,3.47,1.41
7630,logistician,3.2,1.58
7631,logistics,2.48,1.18
7632,logjam,4.35,0.93
7633,logo,4.4,1.08
7634,logos,4.41,1.02
7635,logroller,4.28,0.88
7636,loin,4.38,1.05
7637,loincloth,4.88,0.43
7638,loiter,3.61,1.31
7639,loiterer,4.21,1.03
7640,lollapalooza,3.19,1.65
7641,lollipop,4.96,0.2
7642,lollypop,5.0,0.0
7643,loneliness,2.37,1.43
7644,loneness,1.93,1.07
7645,loner,3.36,1.28
7646,lonesomeness,1.83,1.05
7647,longboat,4.6,0.86
7648,longbow,4.96,0.21
7649,longevity,1.9,1.05
7650,longhorn,4.56,0.77
7651,longitude,2.93,1.44
7652,longneck,4.04,1.11
7653,longship,3.96,1.37
7654,longshoreman,4.58,0.58
7655,longshot,1.89,0.99
7656,longways,3.0,1.36
7657,loo,4.2,1.32
7658,lookalike,3.17,1.42
7659,looker,3.36,1.32
7660,lookout,4.04,1.26
7661,lookup,2.67,1.49
7662,loom,4.5,1.21
7663,loon,4.26,1.21
7664,looney,2.28,1.31
7665,loop,4.26,1.02
7666,loophole,2.63,1.47
7667,looseness,2.71,1.18
7668,loot,4.5,0.66
7669,looter,4.38,0.94
7670,lord,3.04,1.76
7671,lordship,3.0,1.32
7672,lore,2.35,1.23
7673,loser,2.35,1.33
7674,loss,2.19,1.22
7675,lot,3.7,1.54
7676,lotion,4.79,0.77
7677,lottery,4.19,1.0
7678,lotto,3.64,1.25
7679,lotus,4.35,0.94
7680,loudmouth,3.16,1.44
7681,loudness,3.07,1.22
7682,loudspeaker,4.82,0.48
7683,lounge,3.96,1.4
7684,lovebird,4.62,0.9
7685,loveliness,2.07,1.07
7686,lovemaking,4.0,1.26
7687,lover,3.68,1.42
7688,loveseat,4.87,0.43
7689,lovesickness,1.59,0.98
7690,lowball,2.5,1.41
7691,lowbrow,1.96,1.17
7692,lowdown,2.38,1.2
7693,lowercase,3.57,1.57
7694,lowerclassmen,3.6,1.29
7695,lowland,3.82,1.44
7696,lowlander,3.12,1.48
7697,lowlife,3.27,1.61
7698,lowness,1.78,1.0
7699,loyalty,1.57,0.88
7700,lozenge,4.59,0.95
7701,luau,4.04,1.28
7702,lube,4.0,1.44
7703,lubricant,4.52,0.75
7704,lubrication,3.62,1.42
7705,lubricator,4.22,1.15
7706,lucidity,1.96,1.15
7707,luck,1.33,0.71
7708,ludicrousness,1.86,1.08
7709,lug,3.78,1.28
7710,luggage,4.83,0.38
7711,lull,2.32,1.28
7712,lullaby,3.83,1.1
7713,lumbar,3.96,1.19
7714,lumber,4.56,0.97
7715,lumberjack,4.75,0.52
7716,lumberman,4.43,0.79
7717,lumberyard,4.56,1.04
7718,luminary,2.78,1.13
7719,luminescence,3.19,1.55
7720,luminosity,2.68,1.22
7721,lump,4.56,0.7
7722,lunacy,1.76,0.87
7723,lunatic,3.27,1.48
7724,lunch,4.31,0.89
7725,lunchbox,4.75,0.8
7726,luncheon,3.92,1.28
7727,lunchroom,4.63,0.74
7728,lunchtime,3.79,1.4
7729,lung,4.82,0.48
7730,lupus,3.46,1.3
7731,lurch,3.41,1.43
7732,lurker,3.46,1.24
7733,lust,2.15,1.29
7734,luster,2.93,1.46
7735,lustfulness,2.03,1.02
7736,luxuriousness,2.26,1.02
7737,luxury,2.59,1.15
7738,lye,3.92,1.26
7739,lymph,3.48,1.48
7740,lymphoma,3.76,1.24
7741,lynching,4.28,1.17
7742,lynx,4.5,1.2
7743,lyre,4.23,1.48
7744,lyric,3.61,1.4
7745,lyricism,2.25,1.27
7746,lyricist,3.43,1.4
7747,lyrics,3.86,1.38
7748,macadamia,4.67,1.01
7749,macaroni,4.97,0.19
7750,macaw,4.81,0.79
7751,machete,4.82,0.55
7752,machetes,4.63,0.97
7753,machination,2.0,1.27
7754,machine,4.25,1.14
7755,machinery,4.75,0.52
7756,mackerel,4.89,0.42
7757,macrame,4.17,1.37
7758,macro,2.31,1.38
7759,madam,3.77,1.45
7760,madame,4.24,1.09
7761,mademoiselle,3.67,1.24
7762,madhouse,3.1,1.23
7763,madman,3.63,1.31
7764,madness,1.97,1.2
7765,madwoman,3.14,1.35
7766,maelstrom,3.24,1.56
7767,maestro,4.16,1.14
7768,mafia,3.66,1.4
7769,magazine,5.0,0.0
7770,magenta,3.81,1.36
7771,maggot,4.97,0.18
7772,magi,3.76,1.39
7773,magic,2.9,1.49
7774,magician,4.21,1.2
7775,magistrate,3.82,1.12
7776,magma,4.73,0.53
7777,magnesium,4.07,1.27
7778,magnet,4.7,0.92
7779,magnetism,2.54,1.26
7780,magnetometer,4.25,1.11
7781,magnification,3.52,1.27
7782,magnificence,1.83,1.26
7783,magnifier,4.4,0.91
7784,magnitude,2.43,1.45
7785,magnolia,4.71,0.59
7786,mahjong,3.92,1.56
7787,mahogany,4.5,0.95
7788,maid,4.64,0.87
7789,maiden,4.24,1.23
7790,maidenhood,2.72,1.41
7791,maidservant,4.39,1.23
7792,mail,4.69,0.74
7793,mailbag,4.89,0.31
7794,mailbox,5.0,0.0
7795,mailing,3.63,1.08
7796,mailman,4.57,0.97
7797,mailwoman,4.56,0.93
7798,mainframe,3.86,1.27
7799,mainland,4.31,1.04
7800,mainlander,3.71,1.33
7801,mainline,2.96,1.4
7802,mainsail,4.61,0.96
7803,mainsheet,3.5,1.57
7804,mainstay,2.19,1.47
7805,maintenance,3.07,1.49
7806,maize,4.58,0.93
7807,majesty,1.94,1.18
7808,majorette,3.68,1.55
7809,majority,2.54,1.45
7810,maker,3.9,1.16
7811,makeup,4.45,1.02
7812,maladjustment,2.38,1.39
7813,malaria,3.93,1.52
7814,malarkey,2.23,1.11
7815,malcontent,2.16,1.11
7816,maleness,2.16,1.31
7817,malevolence,2.0,1.24
7818,malformation,2.71,1.08
7819,malfunction,2.74,1.35
7820,malice,1.72,0.79
7821,malignancy,1.96,1.26
7822,mall,4.83,0.47
7823,mallard,4.27,1.28
7824,malleability,2.92,1.38
7825,mallet,4.93,0.37
7826,malnourishment,3.5,1.2
7827,malnutrition,3.1,1.35
7828,malpractice,1.79,1.2
7829,malt,4.57,0.84
7830,maltreatment,2.97,1.24
7831,mama,4.3,1.15
7832,mamma,4.58,0.76
7833,mammal,4.59,0.68
7834,mammogram,4.58,0.7
7835,mammoth,4.11,1.37
7836,man,4.79,0.5
7837,management,2.72,1.31
7838,manager,4.14,1.11
7839,manatee,4.66,0.86
7840,mandarin,3.67,1.41
7841,mandate,3.08,1.55
7842,mandolin,4.76,0.69
7843,mane,4.73,0.78
7844,manes,4.2,1.26
7845,maneuver,3.03,1.24
7846,maneuverability,2.25,1.24
7847,mange,3.58,1.32
7848,manger,4.56,0.92
7849,mango,5.0,0.0
7850,manhole,4.7,0.87
7851,manhood,2.59,1.34
7852,manhunt,3.39,1.26
7853,mania,2.42,1.41
7854,maniac,3.1,1.52
7855,manicotti,4.63,1.01
7856,manicure,4.39,0.96
7857,manicurist,4.11,1.01
7858,manifestation,2.39,1.47
7859,manifesto,3.24,1.41
7860,manifold,3.58,1.41
7861,manipulation,2.25,1.17
7862,manipulator,2.96,1.34
7863,mankind,2.97,1.61
7864,manliness,2.15,1.03
7865,mannequin,4.53,1.01
7866,manner,1.62,0.8
7867,mannerism,2.37,1.47
7868,manners,2.17,1.31
7869,manor,4.7,0.61
7870,manpower,3.37,1.3
7871,manservant,3.72,1.46
7872,mansion,4.89,0.58
7873,mansions,4.46,1.0
7874,manslaughter,3.37,1.31
7875,manslayer,3.7,1.33
7876,mantel,4.64,0.68
7877,mantelpiece,3.76,1.69
7878,mantis,4.85,0.61
7879,mantle,4.57,0.73
7880,mantra,2.73,1.6
7881,manual,4.45,0.91
7882,manufacturer,3.69,1.49
7883,manufacturing,3.52,0.99
7884,manure,4.64,0.95
7885,manuscript,4.57,0.99
7886,map,4.93,0.25
7887,maple,4.46,1.2
7888,mapmaker,3.81,1.39
7889,maraschino,4.36,1.03
7890,marathon,3.96,1.17
7891,marathoner,4.22,1.25
7892,marauder,3.26,1.45
7893,marble,4.85,0.36
7894,marbles,4.96,0.19
7895,marbling,3.29,1.57
7896,marcher,4.04,1.19
7897,mare,4.75,0.59
7898,margarine,4.58,1.14
7899,margarita,5.0,0.0
7900,margin,3.46,1.61
7901,marigold,4.59,1.02
7902,marijuana,4.89,0.31
7903,marinade,4.07,1.21
7904,marinara,4.62,0.94
7905,mariner,4.38,0.98
7906,marionette,4.63,1.01
7907,marker,4.62,0.8
7908,market,4.7,0.61
7909,marketability,1.66,0.94
7910,marketeer,3.71,1.23
7911,marketer,3.46,1.72
7912,marketing,2.33,1.11
7913,marketplace,4.28,1.16
7914,marksman,4.12,1.14
7915,marksmanship,3.15,1.46
7916,markup,2.7,1.18
7917,marmalade,4.83,0.47
7918,marmot,4.33,1.2
7919,marriage,2.51,1.2
7920,marrow,4.48,0.96
7921,marshal,4.41,0.8
7922,marshland,4.28,1.14
7923,marshmallow,4.85,0.46
7924,marsupial,4.55,1.01
7925,martini,4.83,0.38
7926,martyr,3.07,1.36
7927,martyrdom,1.64,1.08
7928,marvel,2.12,1.24
7929,marxism,1.48,0.75
7930,mascara,4.93,0.26
7931,mascot,4.2,1.13
7932,masculinity,2.67,1.3
7933,mash,3.78,1.4
7934,masher,3.89,1.34
7935,mask,4.96,0.19
7936,masochism,2.69,1.41
7937,masochist,2.73,1.4
7938,masonry,3.82,1.28
7939,masque,3.88,1.68
7940,masquerade,3.35,1.35
7941,masquerader,3.93,1.31
7942,massacre,4.0,1.08
7943,massage,4.18,0.94
7944,massager,4.6,0.76
7945,masses,3.14,1.41
7946,masseur,4.39,1.34
7947,masseuse,4.56,0.93
7948,mast,4.92,0.27
7949,mastectomy,4.09,1.31
7950,master,2.63,1.31
7951,mastermind,3.0,1.64
7952,masterpiece,3.11,1.45
7953,mastership,2.36,1.15
7954,masterwork,3.07,1.28
7955,mastery,2.69,1.14
7956,mastiff,4.69,0.88
7957,masturbation,4.03,1.21
7958,masturbator,4.04,1.34
7959,mat,4.83,0.76
7960,matador,4.33,1.18
7961,match,4.14,1.18
7962,matchbook,4.8,0.76
7963,matchbox,4.78,0.8
7964,matchmaker,3.12,1.33
7965,matchmaking,2.37,1.13
7966,matchstick,4.96,0.2
7967,matchwood,4.15,1.16
7968,mate,4.34,1.01
7969,material,4.26,1.23
7970,materialism,1.7,0.92
7971,materialist,2.37,1.45
7972,materiality,2.12,1.33
7973,materialization,1.62,1.05
7974,maternity,2.76,1.21
7975,math,3.15,1.59
7976,mathematician,4.38,1.15
7977,mathematics,2.52,1.42
7978,matinee,3.78,1.4
7979,matriarch,3.93,1.38
7980,matriarchy,2.63,1.36
7981,matriculation,2.16,1.37
7982,matrimony,2.11,1.45
7983,matrix,3.11,1.31
7984,matron,3.93,1.1
7985,matte,3.25,1.43
7986,matter,3.54,1.45
7987,matting,4.12,0.85
7988,mattress,5.0,0.0
7989,maturation,2.26,1.2
7990,maturity,1.81,1.05
7991,mausoleum,4.23,1.07
7992,maverick,2.96,1.37
7993,maxim,2.46,1.56
7994,maximization,1.7,1.09
7995,mayday,2.74,1.38
7996,mayflower,4.36,1.1
7997,mayhem,2.24,1.33
7998,mayonnaise,4.9,0.4
7999,mayor,4.37,1.08
8000,maypole,4.54,1.14
8001,maze,4.45,0.95
8002,mead,4.22,1.37
8003,meadow,4.86,0.58
8004,meadowlark,4.35,1.29
8005,meal,4.62,0.73
8006,mealtime,3.5,1.33
8007,meanie,2.43,1.34
8008,meaning,1.85,1.23
8009,meaningfulness,1.5,0.66
8010,meaninglessness,1.79,1.2
8011,meanness,2.21,1.21
8012,meantime,1.87,1.22
8013,measles,4.69,0.6
8014,measurement,3.26,1.35
8015,measurer,4.1,1.23
8016,meat,4.9,0.3
8017,meatball,4.93,0.25
8018,meathead,2.97,1.45
8019,meatloaf,5.0,0.0
8020,mechanic,4.38,1.29
8021,mechanics,3.59,1.39
8022,mechanism,3.67,1.07
8023,mechanization,2.92,1.38
8024,medal,4.89,0.42
8025,medalist,4.33,1.09
8026,medallion,4.68,0.72
8027,meddler,3.16,1.31
8028,media,3.57,1.19
8029,median,4.0,1.1
8030,mediation,2.6,1.54
8031,mediator,3.26,1.26
8032,medic,4.43,0.94
8033,medication,4.53,1.07
8034,medicine,4.79,0.5
8035,medics,4.47,0.94
8036,medievalism,2.11,1.48
8037,mediocrity,1.33,0.68
8038,meditation,2.85,1.46
8039,medium,3.0,1.41
8040,medley,2.93,1.18
8041,medulla,3.38,1.65
8042,meekness,1.68,1.02
8043,meerkat,5.0,0.0
8044,meeting,3.31,1.26
8045,meetinghouse,4.58,0.76
8046,megabits,2.97,1.5
8047,megabyte,3.07,1.55
8048,megahertz,2.88,1.64
8049,megalomaniac,2.35,1.26
8050,megaphone,4.76,0.58
8051,megastar,3.64,1.22
8052,megaton,3.17,1.63
8053,melancholia,2.27,1.43
8054,melanin,3.82,1.33
8055,melanoma,4.1,1.09
8056,melatonin,4.0,1.18
8057,meld,2.86,1.48
8058,melee,3.22,1.25
8059,melodrama,2.14,1.3
8060,melody,3.71,1.33
8061,melon,4.78,0.58
8062,meltdown,3.17,1.3
8063,member,3.07,1.25
8064,membership,3.04,1.5
8065,membrane,3.97,1.11
8066,memento,3.35,1.27
8067,memo,4.25,1.24
8068,memoir,3.76,1.36
8069,memoire,3.79,1.53
8070,memorabilia,4.15,1.38
8071,memoranda,3.48,1.34
8072,memorandum,3.48,1.78
8073,memorial,3.68,1.28
8074,memorization,2.41,1.35
8075,memory,2.38,1.52
8076,men,4.75,0.7
8077,menace,2.3,1.02
8078,menagerie,3.12,1.42
8079,mender,3.56,1.36
8080,meningitis,4.11,1.31
8081,menopause,3.19,1.52
8082,menstruation,4.0,1.28
8083,menswear,4.48,1.06
8084,mentalist,3.07,1.44
8085,mentality,2.0,1.11
8086,menthol,3.85,1.49
8087,mentor,3.7,1.18
8088,menu,4.67,0.96
8089,mercenary,4.3,0.95
8090,merchandise,4.52,0.85
8091,merchandiser,3.97,1.16
8092,merchant,4.31,1.0
8093,merchantman,4.19,1.39
8094,mercifulness,1.82,1.22
8095,mercy,1.57,0.73
8096,merger,2.34,1.37
8097,meridian,3.21,1.68
8098,merit,1.66,0.97
8099,mermaid,4.5,0.82
8100,merriment,2.04,1.09
8101,merrymaking,2.52,1.19
8102,mesh,4.41,0.95
8103,mesmerism,2.27,1.15
8104,mesquite,3.5,1.59
8105,mess,3.9,1.32
8106,message,3.97,1.25
8107,messaging,3.41,1.45
8108,messenger,3.89,1.13
8109,messiah,3.26,1.43
8110,messiness,2.83,1.39
8111,metabolism,2.27,1.46
8112,metabolite,2.52,1.5
8113,metal,4.87,0.35
8114,metalwork,4.46,1.07
8115,metalworker,4.18,1.02
8116,metalworking,3.97,1.18
8117,metamorphosis,3.11,1.58
8118,metaphor,1.94,1.36
8119,metaphysician,3.42,1.65
8120,metaphysics,2.0,1.3
8121,meteor,4.96,0.2
8122,meteorite,4.6,1.12
8123,meteorologist,4.56,0.8
8124,meteorology,2.63,1.47
8125,meter,4.7,0.72
8126,methadone,4.24,1.27
8127,methamphetamine,4.63,0.97
8128,methane,4.32,1.06
8129,methanol,3.54,1.28
8130,method,2.41,1.43
8131,methodology,1.76,0.74
8132,metronome,4.27,1.31
8133,metropolis,3.89,1.34
8134,mice,4.84,0.62
8135,micro,2.08,1.25
8136,microbe,4.19,1.23
8137,microbiologist,4.28,1.19
8138,microbiology,2.93,1.46
8139,microchemistry,3.15,1.61
8140,microchip,4.75,0.8
8141,microcomputer,4.55,0.91
8142,microeconomics,2.0,1.44
8143,microelectronics,3.63,1.31
8144,microfilm,4.37,1.08
8145,microgram,3.25,1.51
8146,micrometer,4.26,1.2
8147,micron,3.25,1.59
8148,microorganism,3.7,1.3
8149,microphone,4.88,0.6
8150,microprobe,3.58,1.59
8151,microprocessor,4.18,1.42
8152,microscope,5.0,0.0
8153,microscopy,2.27,1.59
8154,microsecond,2.9,1.63
8155,microwave,4.34,1.2
8156,midair,3.32,1.49
8157,midbrain,3.23,1.56
8158,midcourse,2.48,1.45
8159,midday,3.72,1.34
8160,middle,3.69,1.37
8161,middlebrow,3.69,1.59
8162,middleclass,2.32,1.22
8163,middleman,2.79,1.57
8164,middleweight,3.07,1.3
8165,midfield,4.57,0.68
8166,midfielder,4.08,1.32
8167,midget,4.4,1.16
8168,midlife,3.07,1.16
8169,midline,3.42,1.17
8170,midmorning,3.5,1.26
8171,midnight,3.14,1.58
8172,midpoint,3.0,1.55
8173,midrange,2.46,1.26
8174,midriff,4.23,1.18
8175,midseason,2.52,1.38
8176,midsection,4.1,1.11
8177,midshipman,4.54,0.88
8178,midst,2.33,1.24
8179,midsummer,3.36,1.52
8180,midterm,4.11,1.1
8181,midtown,3.46,1.42
8182,midweek,2.19,1.18
8183,midwife,4.56,0.89
8184,midwinter,3.41,1.37
8185,mightiness,1.83,0.97
8186,migraine,3.2,1.45
8187,migrant,4.03,1.16
8188,migration,3.55,1.35
8189,mildew,4.57,0.69
8190,mildness,2.0,0.85
8191,mile,3.63,1.42
8192,mileage,3.47,1.43
8193,milepost,4.5,1.17
8194,miles,3.61,1.37
8195,milestone,3.22,1.45
8196,militarism,2.07,1.11
8197,militarization,2.2,1.44
8198,militia,4.0,1.2
8199,milk,4.92,0.39
8200,milker,4.04,0.96
8201,milking,4.07,1.36
8202,milkmaid,4.74,0.66
8203,milkman,4.61,1.07
8204,milkshake,4.97,0.18
8205,mill,4.72,0.7
8206,millennia,2.59,1.5
8207,millennium,2.63,1.47
8208,millet,3.88,1.39
8209,milligram,3.61,1.66
8210,milliliter,3.96,1.4
8211,millimeter,4.38,0.94
8212,milling,3.46,1.3
8213,million,2.9,1.6
8214,millionaire,3.6,1.68
8215,millions,3.59,1.38
8216,millionth,2.7,1.37
8217,millisecond,2.69,1.44
8218,millstone,3.92,1.38
8219,mime,4.5,1.0
8220,mimicry,3.0,1.41
8221,mimosa,4.62,0.9
8222,mincemeat,4.36,1.19
8223,mind,2.5,1.39
8224,mindblower,2.08,1.25
8225,mindset,1.55,0.87
8226,minefield,4.43,0.88
8227,miner,4.3,0.99
8228,mineral,4.41,0.95
8229,mineralogy,2.59,1.32
8230,mines,4.7,0.61
8231,minesweeper,4.17,1.23
8232,miniaturization,2.83,1.37
8233,minibar,4.85,0.37
8234,minibus,4.55,0.91
8235,minimalist,2.55,1.59
8236,minimum,2.25,1.4
8237,mining,4.03,1.05
8238,minion,3.11,1.53
8239,miniseries,3.68,1.36
8240,miniskirt,4.81,0.48
8241,minister,4.22,1.12
8242,ministry,3.21,1.5
8243,minivan,4.92,0.27
8244,mink,4.58,0.99
8245,minnow,4.84,0.37
8246,minority,2.65,1.41
8247,minstrel,4.11,1.37
8248,mint,4.54,1.0
8249,minuet,3.33,1.46
8250,minute,3.04,1.65
8251,minuteman,3.88,1.28
8252,minuteness,1.93,0.98
8253,miracle,1.96,1.5
8254,mirage,3.32,1.42
8255,mirror,4.97,0.18
8256,mirth,2.83,1.61
8257,misadventure,1.76,0.95
8258,misalignment,3.04,1.26
8259,misallocation,2.0,1.02
8260,misanthropy,1.48,0.85
8261,misapplication,2.24,1.24
8262,misapprehension,1.57,0.74
8263,misappropriation,1.59,1.01
8264,misbehavior,1.8,0.92
8265,miscalculation,2.31,1.44
8266,miscarriage,3.11,1.31
8267,mischief,1.9,1.03
8268,mischievousness,2.0,1.22
8269,miscommunication,2.17,1.28
8270,misconception,1.93,0.94
8271,misconduct,2.19,1.14
8272,miscreant,2.7,1.46
8273,misdeed,2.3,1.14
8274,misdemeanor,2.48,1.6
8275,misdiagnosis,2.26,1.4
8276,misdirection,2.27,1.16
8277,miser,2.36,1.38
8278,misery,2.04,1.51
8279,misfire,3.31,1.26
8280,misfit,2.72,1.49
8281,misfortune,2.07,1.1
8282,misgiving,1.83,0.92
8283,misguidance,1.58,0.81
8284,mishap,2.5,1.02
8285,misheard,2.82,1.47
8286,mishmash,2.08,1.2
8287,misidentification,2.14,1.38
8288,misinformation,2.23,1.24
8289,misinterpretation,1.91,1.2
8290,misjudgment,2.0,1.0
8291,mismanagement,1.84,1.24
8292,mismatch,3.0,1.24
8293,misogynist,2.7,1.33
8294,misperception,1.66,0.81
8295,misprint,3.69,1.28
8296,misrepresentation,1.55,0.87
8297,misrule,1.92,1.06
8298,miss,2.54,1.5
8299,missile,4.83,0.38
8300,mission,2.9,1.52
8301,missionary,3.71,1.32
8302,misstep,3.21,1.32
8303,mist,4.51,0.88
8304,mistake,1.97,1.0
8305,mister,3.15,1.59
8306,mistletoe,4.85,0.36
8307,mistranslation,2.54,1.5
8308,mistreatment,2.29,1.36
8309,mistress,4.22,1.04
8310,mistrial,2.12,1.14
8311,misunderstanding,1.97,1.13
8312,misuse,2.07,1.17
8313,mite,4.3,1.11
8314,mitigation,2.0,1.12
8315,mitochondria,3.26,1.6
8316,mitosis,3.39,1.45
8317,mitt,4.76,0.58
8318,mitten,4.89,0.32
8319,mixer,4.33,1.04
8320,mixture,3.79,1.15
8321,moaner,3.26,1.56
8322,moat,4.69,0.62
8323,mob,3.88,1.28
8324,mobility,2.2,0.96
8325,mobilization,2.3,1.3
8326,mobster,4.13,1.25
8327,moccasin,4.78,0.51
8328,mocha,4.74,0.53
8329,mocker,2.74,1.53
8330,mockery,2.33,1.39
8331,mockingbird,4.75,0.84
8332,mockup,3.41,1.28
8333,mode,2.46,1.45
8334,model,4.53,0.9
8335,modeling,3.48,1.18
8336,modem,4.29,1.21
8337,moderation,1.9,0.88
8338,moderator,4.12,1.09
8339,modernism,2.12,1.37
8340,modernization,2.41,1.31
8341,modesty,2.23,1.33
8342,modification,2.79,1.26
8343,modifier,2.41,1.34
8344,modularity,1.59,0.8
8345,modulation,2.64,1.31
8346,modulator,3.27,1.56
8347,module,3.93,1.41
8348,mogul,4.04,1.31
8349,moisture,4.07,1.09
8350,moisturizer,4.67,0.71
8351,molar,4.83,0.48
8352,molasses,4.84,0.45
8353,mold,4.85,0.46
8354,mole,4.41,1.05
8355,molecule,3.27,1.43
8356,molehill,4.64,0.83
8357,moleskin,4.21,1.22
8358,molestation,2.74,1.26
8359,molester,3.59,1.6
8360,mollusk,4.67,1.07
8361,mom,4.4,1.04
8362,moment,1.61,1.1
8363,momentum,2.5,1.58
8364,momma,4.29,1.12
8365,mommy,4.07,1.05
8366,monarch,4.14,1.27
8367,monarchist,2.92,1.55
8368,monarchy,2.55,1.68
8369,monastery,4.75,0.59
8370,money,4.54,0.84
8371,moneybag,4.65,0.8
8372,moneybags,3.85,1.22
8373,moneylender,4.43,0.9
8374,moneymaker,3.14,1.41
8375,moneyman,3.55,1.3
8376,mongoose,4.89,0.31
8377,mongrel,3.8,1.26
8378,moniker,3.65,1.35
8379,monitor,3.65,1.35
8380,monk,4.35,1.16
8381,monkey,4.9,0.31
8382,monkfish,4.63,0.93
8383,mono,2.04,1.12
8384,monochrome,3.27,1.34
8385,monocle,3.87,1.52
8386,monofilament,3.83,1.44
8387,monogamist,3.24,1.27
8388,monogamy,1.7,1.12
8389,monogram,4.57,0.74
8390,monograph,3.67,1.66
8391,monologue,3.3,1.46
8392,mononucleosis,3.58,1.5
8393,monopolist,2.96,1.4
8394,monopoly,2.69,1.54
8395,monorail,4.71,0.66
